"모델명","급속충전방식","완속충전방식","배터리용량","제조사","출시일"
"VOLVO S90 T8","미정의","미정의","","VOLVO",""
"BMW X3 xDRIVE30e","미정의","미정의","","BMW",""
"BMW 530e PHEV","미정의","미정의","10.8","BMW",""
"벤츠 EQC400","미정의","미정의","80","벤츠",""
"벤테이가 PHEV","미정의","미정의","17.3","벤틀리",""
"E6","미정의","미정의","60","조이롱코리아",""
"BMW 7 PHEV","미정의","AC완속(5핀)","","BMW",""
"GLC 350e PHEV","미정의","AC완속(5핀)","","벤츠",""
"i3","DC콤보(급속)","AC완속(5핀)","21.3","BMW","2014-04"
"SM3 ZE","AC3상(급속)","AC완속(7핀)","26.6","르노삼성","2018-07"
"니로EV","DC콤보(급속)","AC완속(5핀)","64","기아","2019-07"
"레이EV","DC차데모(급속)","AC완속(5핀)","16.4","기아","2012-03"
"리프EV","DC차데모(급속)","AC완속(5핀)","24.4","닛산","2014-12"
"테슬라_모델S","미정의","AC완속(7핀)","90","테슬라","2017-04"
"볼트PHEV","미정의","AC완속(5핀)","","한국GM",""
"볼트EV","DC콤보(급속)","AC완속(5핀)","60","한국GM","2019-07"
"쏘울EV","DC차데모(급속)","AC완속(5핀)","27","기아","2017-07"
"스파크EV","미정의","AC완속(5핀)","","한국GM",""
"쏘나타PHEV","미정의","AC완속(5핀)","","현대",""
"아이오닉PHEV","미정의","AC완속(5핀)","","현대",""
"아이오닉EV(2016년도)","DC차데모(급속)","AC완속(5핀)","28","현대","2016-06"
"아이오닉EV(2017이후)","DC콤보(급속)","AC완속(5핀)","28","현대","2017-01"
"코나EV","DC콤보(급속)","AC완속(5핀)","64","현대","2018-04"
"피스","미정의","AC완속(5핀)","","현대",""
"벤츠 s560e","미정의","미정의","13.5","벤츠",""
"포드 익스플로러 플러그인 하이브리드","미정의","미정의","","FORD",""
"조에","DC콤보(급속)","미정의","","르노삼성",""
